"InterPro"	"n_CNV_GO"	"n_GO"	"n_CNV"	"n_gene_total"	"pvalue"	"significant"	"list"
"IPR000727 Target SNARE coiled-coil homology domain"	1	9	182	17501	0.0898140323943833	FALSE	"list_cnv_geoc_other"
"IPR036259 MFS transporter superfamily"	1	73	182	17501	0.534532964592256	FALSE	"list_cnv_geoc_other"
"IPR011701 Major facilitator superfamily"	1	46	182	17501	0.382144090039216	FALSE	"list_cnv_geoc_other"
"IPR020846 Major facilitator superfamily domain"	1	49	182	17501	0.401271159757076	FALSE	"list_cnv_geoc_other"
"IPR017927 FAD-binding domain, ferredoxin reductase-type"	1	16	182	17501	0.154082817150683	FALSE	"list_cnv_geoc_other"
"IPR017938 Riboflavin synthase-like beta-barrel"	1	17	182	17501	0.162887903068816	FALSE	"list_cnv_geoc_other"
"IPR039261 Ferredoxin-NADP reductase (FNR), nucleotide-binding domain"	1	18	182	17501	0.171601835901205	FALSE	"list_cnv_geoc_other"
"IPR001878 Zinc finger, CCHC-type"	3	10	182	17501	0.00012580809928858	TRUE	"list_cnv_geoc_other"
"IPR004875 DDE superfamily endonuclease domain"	1	23	182	17501	0.213836716520184	FALSE	"list_cnv_geoc_other"
"IPR036397 Ribonuclease H superfamily"	4	34	182	17501	0.000411209281304916	TRUE	"list_cnv_geoc_other"
"IPR036291 NAD(P)-binding domain superfamily"	1	132	182	17501	0.749708005820347	FALSE	"list_cnv_geoc_other"
"IPR032675 Leucine-rich repeat domain superfamily"	1	29	182	17501	0.261700654096619	FALSE	"list_cnv_geoc_other"
"IPR020471 Aldo-keto reductase"	2	18	182	17501	0.0147510449182171	FALSE	"list_cnv_geoc_other"
"IPR023210 NADP-dependent oxidoreductase domain"	2	19	182	17501	0.0163749077088091	FALSE	"list_cnv_geoc_other"
"IPR036812 NADP-dependent oxidoreductase domain superfamily"	2	19	182	17501	0.0163749077088091	FALSE	"list_cnv_geoc_other"
"IPR002225 3-beta hydroxysteroid dehydrogenase/isomerase"	1	3	182	17501	0.0308766449308623	FALSE	"list_cnv_geoc_other"
"IPR001905 Ammonium transporter"	1	6	182	17501	0.0608049996916502	FALSE	"list_cnv_geoc_other"
"IPR024041 Ammonium transporter AmtB-like domain"	1	6	182	17501	0.0608049996916502	FALSE	"list_cnv_geoc_other"
"IPR029020 Ammonium/urea transporter"	1	6	182	17501	0.0608049996916502	FALSE	"list_cnv_geoc_other"
"IPR008640 Trimeric autotransporter adhesin YadA-like, head domain"	1	1	182	17501	0.0103994057482428	FALSE	"list_cnv_geoc_other"
"IPR011049 Serralysin-like metalloprotease, C-terminal"	1	1	182	17501	0.0103994057482428	FALSE	"list_cnv_geoc_other"
"IPR001584 Integrase, catalytic core"	4	9	182	17501	1.36901776205809e-06	TRUE	"list_cnv_geoc_other"
"IPR012337 Ribonuclease H-like superfamily"	4	35	182	17501	0.000460524571944467	TRUE	"list_cnv_geoc_other"
"IPR013103 Reverse transcriptase, RNA-dependent DNA polymerase"	3	6	182	17501	2.16226237610811e-05	TRUE	"list_cnv_geoc_other"
"IPR025724 GAG-pre-integrase domain"	3	5	182	17501	1.08948216504782e-05	TRUE	"list_cnv_geoc_other"
"IPR043502 DNA/RNA polymerase superfamily"	2	20	182	17501	0.01807133643567	FALSE	"list_cnv_geoc_other"
"IPR001683 Phox homology"	1	15	182	17501	0.145185629952429	FALSE	"list_cnv_geoc_other"
"IPR036871 PX domain superfamily"	1	15	182	17501	0.145185629952429	FALSE	"list_cnv_geoc_other"
"IPR021858 Fungal transcription factor"	1	15	182	17501	0.145185629952429	FALSE	"list_cnv_geoc_other"
"IPR005829 Sugar transporter, conserved site"	1	15	182	17501	0.145185629952429	FALSE	"list_cnv_geoc_other"
"IPR005599 GPI mannosyltransferase"	1	3	182	17501	0.0308766449308623	FALSE	"list_cnv_geoc_other"
"IPR005162 Retrotransposon gag domain"	1	4	182	17501	0.04095667982757	FALSE	"list_cnv_geoc_other"
"IPR013112 FAD-binding 8"	1	9	182	17501	0.0898140323943833	FALSE	"list_cnv_geoc_other"
"IPR013121 Ferric reductase, NAD binding domain"	1	8	182	17501	0.0802447500823147	FALSE	"list_cnv_geoc_other"
"IPR018047 Ammonium transporter, conserved site"	1	5	182	17501	0.0509324404877619	FALSE	"list_cnv_geoc_other"
"IPR013130 Ferric reductase transmembrane component-like domain"	1	6	182	17501	0.0608049996916502	FALSE	"list_cnv_geoc_other"
"IPR021715 Pre-mRNA-splicing factor SLU7 domain"	1	1	182	17501	0.0103994057482428	FALSE	"list_cnv_geoc_other"
"IPR039974 Pre-mRNA-splicing factor SLU7"	1	1	182	17501	0.0103994057482428	FALSE	"list_cnv_geoc_other"
"IPR018170 Aldo/keto reductase, conserved site"	2	15	182	17501	0.0103319327418039	FALSE	"list_cnv_geoc_other"
"IPR002229 Blood group Rhesus C/E/D polypeptide"	1	1	182	17501	0.0103994057482428	FALSE	"list_cnv_geoc_other"
"IPR035179 Protein of unknown function DUF5314"	1	1	182	17501	0.0103994057482428	FALSE	"list_cnv_geoc_other"
"IPR020556 Amidase, conserved site"	1	5	182	17501	0.0509324404877619	FALSE	"list_cnv_geoc_other"
"IPR023631 Amidase signature domain"	1	7	182	17501	0.0705754192433005	FALSE	"list_cnv_geoc_other"
"IPR036928 Amidase signature (AS) superfamily"	1	7	182	17501	0.0705754192433005	FALSE	"list_cnv_geoc_other"
"IPR039484 Alpha-1,2-mannosyltransferase ALG9-like"	1	2	182	17501	0.0206912519284613	FALSE	"list_cnv_geoc_other"
"IPR001466 Beta-lactamase-related"	2	4	182	17501	0.000636540240740839	TRUE	"list_cnv_geoc_other"
"IPR012338 Beta-lactamase/transpeptidase-like"	2	4	182	17501	0.000636540240740839	TRUE	"list_cnv_geoc_other"
"IPR000727 Target SNARE coiled-coil homology domain"	1	9	148	17501	0.0736018137784928	FALSE	"list_cnv_geob_cheese"
"IPR036259 MFS transporter superfamily"	1	73	148	17501	0.462725172918495	FALSE	"list_cnv_geob_cheese"
"IPR011701 Major facilitator superfamily"	1	46	148	17501	0.323731971490222	FALSE	"list_cnv_geob_cheese"
"IPR020846 Major facilitator superfamily domain"	1	49	148	17501	0.34078961684727	FALSE	"list_cnv_geob_cheese"
