scaffold;begin;end;window
0,1;1;7500;1
0,1;5001;12500;2
0,1;10001;17500;3
0,1;15001;22500;4
0,1;20001;27500;5
0,1;25001;32500;6
0,1;30001;37500;7
0,1;35001;42500;8
0,1;40001;47500;9
0,1;45001;52500;10
0,1;50001;57500;11
0,1;55001;62500;12
0,1;60001;67500;13
0,1;65001;72500;14
0,1;70001;77500;15
0,1;75001;82500;16
0,1;80001;87500;17
0,1;85001;92500;18
0,1;90001;97500;19
0,1;95001;102500;20
0,1;100001;107500;21
0,1;105001;112500;22
0,1;110001;117500;23
0,1;115001;122500;24
0,1;120001;127500;25
0,1;125001;132500;26
0,1;130001;137500;27
0,1;135001;142500;28
0,1;140001;147500;29
0,1;145001;152500;30
0,1;150001;157500;31
0,1;155001;162500;32
0,1;160001;167500;33
0,1;165001;172500;34
0,1;170001;177500;35
0,1;175001;182500;36
0,1;180001;187500;37
0,1;185001;192500;38
0,1;190001;197500;39
0,1;195001;202500;40
0,1;200001;207500;41
0,1;205001;212500;42
0,1;210001;217500;43
0,1;215001;222500;44
0,1;220001;227500;45
0,1;225001;232500;46
0,1;230001;237500;47
0,1;235001;242500;48
0,1;240001;247500;49
0,1;245001;252500;50
0,1;250001;257500;51
0,1;255001;262500;52
0,1;260001;267500;53
0,1;265001;272500;54
0,1;270001;277500;55
0,1;275001;282500;56
0,1;280001;287500;57
0,1;285001;292500;58
0,1;290001;297500;59
0,1;295001;302500;60
0,1;300001;307500;61
0,1;305001;312500;62
0,1;310001;317500;63
0,1;315001;322500;64
0,1;320001;327500;65
0,1;325001;332500;66
0,1;330001;337500;67
0,1;335001;342500;68
0,1;340001;347500;69
0,1;345001;352500;70
0,1;350001;357500;71
0,1;355001;362500;72
0,1;360001;367500;73
0,1;365001;372500;74
0,1;370001;377500;75
0,1;375001;382500;76
0,1;380001;387500;77
0,1;385001;392500;78
0,1;390001;397500;79
0,1;395001;402500;80
0,1;400001;407500;81
0,1;405001;412500;82
0,1;410001;417500;83
0,1;415001;422500;84
0,1;420001;427500;85
0,1;425001;432500;86
0,1;430001;437500;87
0,1;435001;442500;88
0,1;440001;447500;89
0,1;445001;452500;90
0,1;450001;457500;91
0,1;455001;462500;92
0,1;460001;467500;93
0,1;465001;472500;94
0,1;470001;477500;95
0,1;475001;482500;96
0,1;480001;487500;97
0,1;485001;492500;98
0,1;490001;497500;99
0,1;495001;502500;100
0,1;500001;507500;101
0,1;505001;512500;102
0,1;510001;517500;103
0,1;515001;522500;104
0,1;520001;527500;105
0,1;525001;532500;106
0,1;530001;537500;107
0,1;535001;542500;108
0,1;540001;547500;109
0,1;545001;552500;110
0,1;550001;557500;111
0,1;555001;562500;112
0,1;560001;567500;113
0,1;565001;572500;114
0,1;570001;577500;115
0,1;575001;582500;116
0,1;580001;587500;117
0,1;585001;592500;118
0,1;590001;597500;119
0,1;595001;602500;120
0,1;600001;607500;121
0,1;605001;612500;122
0,1;610001;617500;123
0,1;615001;622500;124
0,1;620001;627500;125
0,1;625001;632500;126
0,1;630001;637500;127
0,1;635001;642500;128
0,1;640001;647500;129
0,1;645001;652500;130
0,1;650001;657500;131
0,1;655001;662500;132
0,1;660001;667500;133
0,1;665001;672500;134
0,1;670001;677500;135
0,1;675001;682500;136
0,1;680001;687500;137
0,1;685001;692500;138
0,1;690001;697500;139
0,1;695001;702500;140
0,1;700001;707500;141
0,1;705001;712500;142
0,1;710001;717500;143
0,1;715001;722500;144
0,1;720001;727500;145
0,1;725001;732500;146
0,1;730001;737500;147
0,1;735001;742500;148
0,1;740001;747500;149
0,1;745001;752500;150
0,1;750001;757500;151
0,1;755001;762500;152
0,1;760001;767500;153
0,1;765001;772500;154
0,1;770001;777500;155
0,1;775001;782500;156
0,1;780001;787500;157
0,1;785001;792500;158
0,1;790001;797500;159
0,1;795001;802500;160
0,1;800001;807500;161
