 ,Day,T℃,Biol. rep,Techn. rep,data rep.,ESE00516,ESE00518,ESE00534,ESE00536,ESE00537,ESE00538,ESE00544,ESE00551,LMA0040,LMA0070,LMA0077,LMA0244,LMA0317,LMA0563,LMA1028,LMA1146,LMA1147,LMA1148,LMA1816,LMA1817,LMA1820,LMA1821,LMA1822,LMA1825,LMA1827,LMA1829,LMA1831,LMA1833,LMA1840,LMA1841,LMA1845,LMA1846,LMA1847,LMA1848,LMA1849
Growth,7,15,1,A,1,16,20,23,23,20,21,24,27,25,26,21,19,25,19,23,24,,,20,28,25,25,20,24,15,18,20,25,22,21,22,19,27,26,18
Growth,7,15,1,A,2,17,20,23,23,20,20,25,27,25,26,21,20,24,19,23,24,,,16,27,25,26,21,23,15,18,20,25,22,20,21,18,26,26,18
Growth,7,15,1,A,3,16,20,23,23,19,21,24,27,25,25,21,20,24,19,23,24,,,21,27,25,25,21,23,15,18,18,25,22,20,22,19,26,26,19
Growth,7,15,1,B,1,17,21,23,23,15,19,25,27,25,26,21,20,25,19,23,24,,,20,27,25,24,20,23,15,18,19,25,20,19,22,22,26,28,18
Growth,7,15,1,B,2,,,,23,14,18,,,25,26,,,,,,23,,,20,26,,23,21,,,,19,26,20,20,23,22,26,,18
Growth,7,15,1,B,3,,,,23,15,18,,,25,26,,,,,,24,,,20,26,,24,21,,,,19,25,20,21,22,23,26,,19
Growth,7,15,1,C,1,17,20,23,24,17,22,25,26,26,25,21,22,23,19,23,24,,,21,26,25,25,21,23,15,17,20,26,19,21,22,23,26,25,18
Growth,7,15,1,C,2,,,,24,17,22,,,27,25,,,,,,24,,,21,27,,24,21,,,,18,25,20,22,22,24,26,,18
Growth,7,15,1,C,3,,,,24,16,22,,,25,24,,,,,,24,,,21,26,,22,21,,,,19,25,19,21,22,23,26,,17
Growth,7,15,1,D,1,18,,23,24,16,22,,,25,25,21,22,,19,,23,,,23,26,,25,20,24,15,,19,25,20,19,22,24,25,,18
Growth,7,15,1,D,2,,,,23,16,21,,,25,25,,,,,,24,,,23,27,,24,21,,,,,25,20,19,22,23,25,,18
Growth,7,15,1,D,3,,,,24,17,22,,,25,25,,,,,,24,,,22,27,,24,20,,,,,25,20,20,22,22,25,,18
Lipolysis,7,15,1,A,1,3,1,1,2,3,1,0,1,1,0,0,2,2,5,3,0,,,0,0,1,1,0,2,7,4,0,1,4,0,1,2,1,2,1
Lipolysis,7,15,1,A,2,3,1,1,2,3,1,0,1,1,0,0,2,2,5,3,0,,,0,0,1,1,0,2,7,4,0,1,4,0,1,2,0,2,1
Lipolysis,7,15,1,A,3,3,1,1,2,3,1,0,1,1,0,0,2,2,5,3,0,,,0,0,1,1,0,2,6,4,0,1,4,0,1,2,1,2,1
Lipolysis,7,15,1,B,1,3,1,2,3,3,1,0,1,0,0,0,2,2,5,2,0,,,0,2,2,1,0,3,6,4,0,1,0,0,2,1,1,0,1
Lipolysis,7,15,1,B,2,3,1,2,3,3,1,0,1,0,0,0,2,2,5,2,0,,,0,1,2,1,0,2,7,3,0,1,0,0,1,1,1,0,1
Lipolysis,7,15,1,B,3,3,1,2,3,3,1,0,1,0,0,0,2,2,5,2,0,,,0,2,2,1,0,2,7,4,0,1,0,0,1,1,1,0,1
Lipolysis,7,15,1,C,1,3,1,1,1,3,1,0,0,0,0,0,2,2,5,1,0,,,0,2,2,2,0,2,7,4,0,1,4,0,1,0,1,0,1
Lipolysis,7,15,1,C,2,3,1,1,2,3,1,0,0,0,0,0,2,2,5,1,0,,,0,1,1,1,0,2,7,4,0,1,4,0,1,1,1,0,1
Lipolysis,7,15,1,C,3,3,1,1,1,3,1,0,0,0,0,0,1,2,5,1,0,,,0,2,1,1,0,2,8,5,0,1,4,0,1,1,1,0,1
Lipolysis,7,15,1,D,1,3,,2,1,3,1,,,0,0,0,1,,5,,0,,,0,1,,1,0,2,7,,0,1,5,0,1,1,1,,1
Lipolysis,7,15,1,D,2,3,,2,1,3,1,,,0,0,0,1,,5,,0,,,0,1,,2,0,2,8,,0,1,4,0,1,2,1,,1
