NUM.ESE	Competitor	mesure1	mesure2	Mean	Temp	Competitor_species
NA	645	6,4	6,3	6,35	25	Penicillium roqueforti
Nabis	645	6,3	6,5	6,4	25	Penicillium roqueforti
536	645	1,1	1,1	1,1	25	Penicillium roqueforti
540	645	1,3	1,1	1,2	25	Penicillium roqueforti
548	645	1	0,8	0,9	25	Penicillium roqueforti
186	645	0,2	0,3	0,25	25	Penicillium roqueforti
NA	6040	6,6	6,7	6,65	25	Penicillium roqueforti
Nabis	6040	6,8	6,6	6,7	25	Penicillium roqueforti
537	6040	0,3	0,2	0,25	25	Penicillium roqueforti
534	6040	0,2	0,3	0,25	25	Penicillium roqueforti
186	6040	0,4	0,4	0,4	25	Penicillium roqueforti
540	6040	1,8	1,7	1,75	25	Penicillium roqueforti
NA	925	6,8	6,9	6,85	25	Penicillium roqueforti
Nabis	925	6,7	6,8	6,75	25	Penicillium roqueforti
540	925	1	1	1	25	Penicillium roqueforti
279	925	0,8	0,7	0,75	25	Penicillium roqueforti
988	925	0,6	0,4	0,5	25	Penicillium roqueforti
85	925	0,3	0,3	0,3	25	Penicillium roqueforti
186	925	1	1,3	1,15	25	Penicillium roqueforti
179	925	0,3	0,4	0,35	25	Penicillium roqueforti
78	925	0,2	0,2	0,2	25	Penicillium roqueforti
545	925	0,2	0,3	0,25	25	Penicillium roqueforti
78	1324	3	2,8	2,9	25	Scopulariopsis asperula
78	44	2,2	2,3	2,25	25	Scopulariopsis asperula
78	102	2,5	2,5	2,5	25	Scopulariopsis asperula
78	835	2,8	2,8	2,8	25	Scopulariopsis asperula
78	1287	2	2,1	2,05	25	Scopulariopsis asperula
85	1324	3,1	3	3,05	25	Scopulariopsis asperula
85	44	2	2	2	25	Scopulariopsis asperula
85	102	2	2	2	25	Scopulariopsis asperula
85	835	2,2	2,6	2,4	25	Scopulariopsis asperula
85	1287	3,6	3,5	3,55	25	Scopulariopsis asperula
88	1324	1,7	1,5	1,6	25	Scopulariopsis asperula
88	44	2,5	2,2	2,35	25	Scopulariopsis asperula
88	102	1,3	1,3	1,3	25	Scopulariopsis asperula
88	835	2	2,1	2,05	25	Scopulariopsis asperula
88	1287	1	1	1	25	Scopulariopsis asperula
117	1324	2,4	2,7	2,55	25	Scopulariopsis asperula
117	44	2,5	2,1	2,3	25	Scopulariopsis asperula
117	102	3,1	2,8	2,95	25	Scopulariopsis asperula
117	835	3	2,8	2,9	25	Scopulariopsis asperula
117	1287	2,5	2,5	2,5	25	Scopulariopsis asperula
168	1324	2	2	2	25	Scopulariopsis asperula
168	44	2,7	2,9	2,8	25	Scopulariopsis asperula
168	102	3,3	3,1	3,2	25	Scopulariopsis asperula
168	835	2,6	2,2	2,4	25	Scopulariopsis asperula
168	1287	3,2	3,4	3,3	25	Scopulariopsis asperula
177	1324	2	2	2	25	Scopulariopsis asperula
177	44	2	1,8	1,9	25	Scopulariopsis asperula
177	102	3	2,4	2,7	25	Scopulariopsis asperula
177	835	3,1	3,2	3,15	25	Scopulariopsis asperula
177	1287	3,1	3,2	3,15	25	Scopulariopsis asperula
179	1324	1,6	1,7	1,65	25	Scopulariopsis asperula
179	44	1	1	1	25	Scopulariopsis asperula
179	102	1,4	1,5	1,45	25	Scopulariopsis asperula
179	835	2	1,8	1,9	25	Scopulariopsis asperula
179	1287	1,1	1,1	1,1	25	Scopulariopsis asperula
180	1324	3,1	2,8	2,95	25	Scopulariopsis asperula
180	44	3,3	2,8	3,05	25	Scopulariopsis asperula
180	102	4	3,6	3,8	25	Scopulariopsis asperula
180	835	3,5	3,2	3,35	25	Scopulariopsis asperula
180	1287	3,5	3,4	3,45	25	Scopulariopsis asperula
182	1324	1,5	1,5	1,5	25	Scopulariopsis asperula
182	44	1,1	0,8	0,95	25	Scopulariopsis asperula
182	102	0	0	0	25	Scopulariopsis asperula
182	835	2	2,2	2,1	25	Scopulariopsis asperula
182	1287	1,5	1,1	1,3	25	Scopulariopsis asperula
184	1324	3,3	3,4	3,35	25	Scopulariopsis asperula
184	44	2,9	2,8	2,85	25	Scopulariopsis asperula
184	102	2,5	2,6	2,55	25	Scopulariopsis asperula
184	835	2,2	2,3	2,25	25	Scopulariopsis asperula
184	1287	2,5	2,4	2,45	25	Scopulariopsis asperula
186	1324	3,6	3,7	3,65	25	Scopulariopsis asperula
186	44	2,3	2,2	2,25	25	Scopulariopsis asperula
186	102	2,6	2,6	2,6	25	Scopulariopsis asperula
186	835	3,4	3,5	3,45	25	Scopulariopsis asperula
186	1287	2,5	2,6	2,55	25	Scopulariopsis asperula
194	1324	4	3,8	3,9	25	Scopulariopsis asperula
194	44	2	2,3	2,15	25	Scopulariopsis asperula
194	102	3,2	3,1	3,15	25	Scopulariopsis asperula
194	835	3,6	3,8	3,7	25	Scopulariopsis asperula
194	1287	2,4	2,3	2,35	25	Scopulariopsis asperula
197	1324	1,7	2	1,85	25	Scopulariopsis asperula
197	44	2,5	2,5	2,5	25	Scopulariopsis asperula
