NUM.ESE	Temperature	Media	mesure1	mesure2	Measure	Date
78	10	Cheese	4,5	4,2	4,35	14 jours
78	10	YPD	3,5	3,5	3,5	14 jours
78	10	Minimal media	2,5	2,5	2,5	14 jours
85	10	Cheese	4,3	4,4	4,35	14 jours
85	10	YPD	3,8	3,8	3,8	14 jours
85	10	Minimal media	3,5	3,3	3,4	14 jours
88	10	Cheese	4,5	4,8	4,65	14 jours
88	10	YPD	2,9	2,9	2,9	14 jours
88	10	Minimal media	3,6	3,5	3,55	14 jours
117	10	Cheese	4,4	4,1	4,25	14 jours
117	10	YPD	3,4	3,5	3,45	14 jours
117	10	Minimal media	2,4	2,4	2,4	14 jours
168	10	Cheese	4,5	5	4,75	14 jours
168	10	YPD	3,1	3,1	3,1	14 jours
168	10	Minimal media	2,7	2,6	2,65	14 jours
177	10	Cheese	4,7	4,8	4,75	14 jours
177	10	YPD	2,8	2,8	2,8	14 jours
177	10	Minimal media	2,8	2,7	2,75	14 jours
179	10	Cheese	4,4	4,6	4,5	14 jours
179	10	YPD	3,1	3,1	3,1	14 jours
179	10	Minimal media	3,6	3,5	3,55	14 jours
180	10	Cheese	5	4,8	4,9	14 jours
180	10	YPD	3,5	3,5	3,5	14 jours
180	10	Minimal media	3,2	3,2	3,2	14 jours
182	10	Cheese	4,5	4,9	4,7	14 jours
182	10	YPD	3,6	3,6	3,6	14 jours
182	10	Minimal media	3,5	3,3	3,4	14 jours
184	10	Cheese	4,5	4,6	4,55	14 jours
184	10	YPD	3,5	3,4	3,45	14 jours
184	10	Minimal media	3	3	3	14 jours
186	10	Cheese	4,1	4,1	4,1	14 jours
186	10	YPD	2,6	2,6	2,6	14 jours
186	10	Minimal media	1,3	1,2	1,25	14 jours
194	10	Cheese	4,4	4,1	4,25	14 jours
194	10	YPD	2,8	0,9	1,85	14 jours
194	10	Minimal media	3	2,9	2,95	14 jours
197	10	Cheese	4,7	4,9	4,8	14 jours
197	10	YPD	2,9	3	2,95	14 jours
197	10	Minimal media	3,3	3,3	3,3	14 jours
198	10	Cheese	4	4,2	4,1	14 jours
198	10	YPD	2,9	2,8	2,85	14 jours
198	10	Minimal media	1	1,1	1,05	14 jours
274	10	Cheese	4,3	4,7	4,5	14 jours
274	10	YPD	3,8	3,7	3,75	14 jours
274	10	Minimal media	3,2	3,2	3,2	14 jours
279	10	Cheese	4,3	4,4	4,35	14 jours
279	10	YPD	3,5	3,5	3,5	14 jours
279	10	Minimal media	3,3	3,3	3,3	14 jours
289	10	Cheese	4,6	4,4	4,5	14 jours
289	10	YPD	3,5	3,4	3,45	14 jours
289	10	Minimal media	3,5	3,5	3,5	14 jours
375	10	Cheese	4,3	4,3	4,3	14 jours
375	10	YPD	3	3	3	14 jours
375	10	Minimal media	3,1	3,1	3,1	14 jours
377	10	Cheese	3,9	4,1	4	14 jours
377	10	YPD	2,9	2,9	2,9	14 jours
377	10	Minimal media	2,8	2,7	2,75	14 jours
380	10	Cheese	4,3	4	4,15	14 jours
380	10	YPD	3	2,9	2,95	14 jours
380	10	Minimal media	3,1	3,1	3,1	14 jours
516	10	Cheese	4	4	4	14 jours
516	10	YPD	2,6	2,8	2,7	14 jours
