"size"	"opacity"	"NUM.ESE"
252050	2678560	78
207544	2126482	85
220412	3319550	88
189572	417378	117
235443	1786617	168
224304	761151	177
226429	2630849	179
230688	3321871	180
228602	7004014	182
242820	2137648	184
187696	259203	186
199387	584353	194
205410	2980077	197
197872	3007656	198
212380	3352425	274
228172	2253773	279
217276	1742598	289
189016	3856045	377
226016	3847770	380
183108	2819637	516
200652	1170467	518
192628	354079	534
233232	835850	536
234554	4016938	537
217196	800613	538
180072	3136716	540
213148	2201939	545
237495	1075136	548
245324	2227140	549
236736	1643098	551
239540	5168470	945
185836	2762827	972
199104	4094124	991
156608	1459997	1071
201780	4040818	1072
186900	110424	1074
213212	4535179	1075
166880	4208916	1076
242432	4443207	1077
197088	1881060	1078
93956	1084184	1079
195556	3252594	1080
169680	1438085	1082
165476	475893	1083
168332	1329727	1085
