Measure,Day,T℃,Biol. rep,Techn. rep,data rep.,ESE00516,ESE00518,ESE00534,ESE00536,ESE00537,ESE00538,ESE00544,ESE00551,LMA0040,LMA0070,LMA0077,LMA0244,LMA0317,LMA0563,LMA1028,LMA1146,LMA1147,LMA1148,LMA1816,LMA1817,LMA1820,LMA1821,LMA1822,LMA1825,LMA1827,LMA1829,LMA1831,LMA1833,LMA1840,LMA1841,LMA1845,LMA1846,LMA1847,LMA1848,LMA1849
Growth,7,15,1,A,1,29,40,40,46,36,36,44,47,46,54,39,42,44,19,46,40,,,41,44,38,55,43,39,28,39,39,40,36,34,,45,40,40,35
Growth,7,15,1,A,2,29,36,,40,37,50,47,49,42,45,,42,,19,43,39,,,50,49,36,43,41,35,29,37,38,35,38,34,,49,42,,32
Growth,7,15,1,A,3,29,38,,45,38,50,44,47,45,42,,43,,20,45,37,,,44,45,36,51,41,38,30,35,38,38,38,34,,45,41,,32
Growth,7,15,1,B,1,30,38,37,42,37,51,46,49,49,60,40,38,52,18,31,38,,,49,49,40,46,44,35,32,35,39,41,38,34,39,40,42,39,30
Growth,7,15,1,B,2,,,,40,,44,,,42,41,40,,40,,,36,,,44,56,,41,41,,,,,42,36,34,37,42,43,46,32
Growth,7,15,1,B,3,,,,42,,49,,,44,50,41,,45,,,39,,,39,44,,44,41,,,,,41,35,36,39,41,43,47,31
Growth,7,15,1,C,1,29,38,38,42,39,46,45,44,42,51,35,40,46,28,39,38,,,29,44,38,,,35,26,45,37,41,35,,39,45,42,42,34
Growth,7,15,1,C,2,,,,37,,45,,,50,48,,,,,,37,,,36,44,,,,,,,,41,39,,39,45,40,,30
Growth,7,15,1,C,3,,,,45,,46,,,46,42,,,,,,38,,,31,44,,,,,,,,41,37,,39,47,44,,34
Growth,7,15,1,D,1,31,,36,41,36,50,,,43,50,37,34,,24,,40,,,35,46,,55,40,33,27,,40,40,34,,38,45,40,,34
Growth,7,15,1,D,2,,,,38,,45,,,49,44,,,,26,,37,,,39,46,,40,41,,,,,40,37,,37,50,43,,30
Growth,7,15,1,D,3,,,,42,,50,,,45,44,,,,25,,40,,,41,48,,41,41,,,,,40,38,,37,45,39,,33
Proteolysis,7,15,1,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2,0,0,,0,0,0,0
Proteolysis,7,15,1,A,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2,0,0,,0,0,0,0
Proteolysis,7,15,1,A,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2,0,0,,0,0,0,0
Proteolysis,7,15,1,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Proteolysis,7,15,1,B,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Proteolysis,7,15,1,B,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
