"chr","GeneID","TranscriptID","Feature","Contig","Start","Stop","Strand","Name","Product","Alias.Synonyms","EC_number","BUSCO","PFAM","InterPro","EggNog","COG","GO.Terms","Secreted","Membrane","Protease","CAZyme","Notes","begin","end","scaffold","i.begin","i.end","source","scaffold_name"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,264000,265500,"list_cnv_geoc_other","CCBN010000001.1"
"1","gene-BN980_GECA01s01429g","gene-BN980_GECA01s01429g-T1","mRNA","CCBN010000001.1",305941,306999,"-","GRE2_3","methylglyoxal reductase (NADPH-dependent) gre2",NA,"1.1.1.283","","PF01073;PF01370","IPR001509 NAD-dependent epimerase/dehydratase;IPR036291 NAD(P)-binding domain superfamily","ENOG503NVWR","V:(V) Defense mechanisms","GO_function: GO:0003824 - catalytic activity [Evidence IEA]",NA,NA,"","","",305941,306999,1,306000,309500,"list_cnv_geoc_other","CCBN010000001.1"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,927500,932000,"list_cnv_geoc_other","CCBN010000001.1"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,941000,942000,"list_cnv_geoc_other","CCBN010000001.1"
"1","gene-BN980_GECA01s06159g","gene-BN980_GECA01s06159g-T1","mRNA","CCBN010000001.1",1289766,1290686,"-","","hypothetical protein",NA,"","","PF00248","IPR018170 Aldo/keto reductase, conserved site;IPR020471 Aldo-keto reductase;IPR023210 NADP-dependent oxidoreductase domain;IPR036812 NADP-dependent oxidoreductase domain superfamily","ENOG503NXGZ","S:(S) Function unknown","GO_function: GO:0047834 - D-threo-aldose 1-dehydrogenase activity [Evidence IEA];GO_function: GO:0016491 - oxidoreductase activity [Evidence IEA]",NA,NA,"","","similar to Saccharomyces cerevisiae YJR096W Putative xylose and arabinose reductase",1289766,1290686,1,1288000,1290000,"list_cnv_geoc_other","CCBN010000001.1"
"1","gene-BN980_GECA01s06709g","gene-BN980_GECA01s06709g-T1","mRNA","CCBN010000001.1",1435985,1436926,"+","","hypothetical protein",NA,"","","PF00248","IPR018170 Aldo/keto reductase, conserved site;IPR020471 Aldo-keto reductase;IPR023210 NADP-dependent oxidoreductase domain;IPR036812 NADP-dependent oxidoreductase domain superfamily","ENOG503NXGZ","S:(S) Function unknown","GO_function: GO:0047834 - D-threo-aldose 1-dehydrogenase activity [Evidence IEA];GO_function: GO:0016491 - oxidoreductase activity [Evidence IEA]",NA,NA,"","","similar to Saccharomyces cerevisiae YOR120W GCY1 Glycerol dehydrogenase, involved in an alternative pathway for glycerol catabolism used under microaerobic conditions",1435985,1436926,1,1435500,1437000,"list_cnv_geoc_other","CCBN010000001.1"
"1","gene-BN980_GECA01s09244r","gene-BN980_GECA01s09244r-T1","tRNA","CCBN010000001.1",2014012,2014083,"-","","tRNA-Met",NA,"","","","","","","",NA,NA,"","","",2014012,2014083,1,2014000,2016000,"list_cnv_geoc_other","CCBN010000001.1"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2069500,2070000,"list_cnv_geoc_other","CCBN010000001.1"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,264000,265500,"list_cnv_geob_cheese","CCBN010000001.1"
"1","gene-BN980_GECA01s01429g","gene-BN980_GECA01s01429g-T1","mRNA","CCBN010000001.1",305941,306999,"-","GRE2_3","methylglyoxal reductase (NADPH-dependent) gre2",NA,"1.1.1.283","","PF01073;PF01370","IPR001509 NAD-dependent epimerase/dehydratase;IPR036291 NAD(P)-binding domain superfamily","ENOG503NVWR","V:(V) Defense mechanisms","GO_function: GO:0003824 - catalytic activity [Evidence IEA]",NA,NA,"","","",305941,306999,1,306000,309500,"list_cnv_geob_cheese","CCBN010000001.1"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,264000,265500,"list_cnv_cheese_diff","CCBN010000001.1"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,941000,942000,"list_cnv_cheese_diff","CCBN010000001.1"
"1","gene-BN980_GECA01s06621g","gene-BN980_GECA01s06621g-T1","mRNA","CCBN010000001.1",1405555,1407297,"+","","hypothetical protein",NA,"","","PF07690","IPR011701 Major facilitator superfamily;IPR036259 MFS transporter superfamily","ENOG503NVM3","G:(G) Carbohydrate transport and metabolism","GO_function: GO:0022857 - transmembrane transporter activity [Evidence IEA];GO_process: GO:0055085 - transmembrane transport [Evidence IEA]",NA,NA,"","","similar to Saccharomyces cerevisiae YIL166C Putative protein with similarity to the allantoate permease (Dal5p) subfamily of the major facilitator superfamily",1405555,1407297,1,1405000,1417000,"list_cnv_cheese_diff","CCBN010000001.1"
"1","gene-BN980_GECA01s06643g","gene-BN980_GECA01s06643g-T1","mRNA","CCBN010000001.1",1409840,1411582,"+","","hypothetical protein",NA,"","","PF07690","IPR011701 Major facilitator superfamily;IPR036259 MFS transporter superfamily","ENOG503NVM3","G:(G) Carbohydrate transport and metabolism","GO_function: GO:0022857 - transmembrane transporter activity [Evidence IEA];GO_process: GO:0055085 - transmembrane transport [Evidence IEA]",NA,NA,"","","similar to Saccharomyces cerevisiae YIL166C Putative protein with similarity to the allantoate permease (Dal5p) subfamily of the major facilitator superfamily",1409840,1411582,1,1405000,1417000,"list_cnv_cheese_diff","CCBN010000001.1"
"1","gene-BN980_GECA01s06654g","gene-BN980_GECA01s06654g-T1","mRNA","CCBN010000001.1",1415473,1417215,"+","","hypothetical protein",NA,"","","PF07690","IPR011701 Major facilitator superfamily;IPR036259 MFS transporter superfamily","ENOG503NVM3","G:(G) Carbohydrate transport and metabolism","GO_function: GO:0022857 - transmembrane transporter activity [Evidence IEA];GO_process: GO:0055085 - transmembrane transport [Evidence IEA]",NA,NA,"","","similar to Saccharomyces cerevisiae YIL166C Putative protein with similarity to the allantoate permease (Dal5p) subfamily of the major facilitator superfamily",1415473,1417215,1,1405000,1417000,"list_cnv_cheese_diff","CCBN010000001.1"
"1","gene-BN980_GECA01s06709g","gene-BN980_GECA01s06709g-T1","mRNA","CCBN010000001.1",1435985,1436926,"+","","hypothetical protein",NA,"","","PF00248","IPR018170 Aldo/keto reductase, conserved site;IPR020471 Aldo-keto reductase;IPR023210 NADP-dependent oxidoreductase domain;IPR036812 NADP-dependent oxidoreductase domain superfamily","ENOG503NXGZ","S:(S) Function unknown","GO_function: GO:0047834 - D-threo-aldose 1-dehydrogenase activity [Evidence IEA];GO_function: GO:0016491 - oxidoreductase activity [Evidence IEA]",NA,NA,"","","similar to Saccharomyces cerevisiae YOR120W GCY1 Glycerol dehydrogenase, involved in an alternative pathway for glycerol catabolism used under microaerobic conditions",1435985,1436926,1,1435500,1437000,"list_cnv_cheese_diff","CCBN010000001.1"
"1","gene-BN980_GECA01s06720g","gene-BN980_GECA01s06720g-T1","mRNA","CCBN010000001.1",1437594,1438514,"+","","hypothetical protein",NA,"","","PF00248","IPR018170 Aldo/keto reductase, conserved site;IPR020471 Aldo-keto reductase;IPR023210 NADP-dependent oxidoreductase domain;IPR036812 NADP-dependent oxidoreductase domain superfamily","ENOG503NXGZ","S:(S) Function unknown","GO_function: GO:0047834 - D-threo-aldose 1-dehydrogenase activity [Evidence IEA];GO_function: GO:0016491 - oxidoreductase activity [Evidence IEA]",NA,NA,"","","similar to Saccharomyces cerevisiae YJR096W Putative xylose and arabinose reductase",1437594,1438514,1,1438000,1438500,"list_cnv_cheese_diff","CCBN010000001.1"
"1","gene-BN980_GECA01s08331r","gene-BN980_GECA01s08331r-T1","tRNA","CCBN010000001.1",1815380,1815451,"+","","tRNA-Glu",NA,"","","","","","","",NA,NA,"","","",1815380,1815451,1,1813000,1815500,"list_cnv_cheese_diff","CCBN010000001.1"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2333000,2338000,"list_cnv_cheese_diff","CCBN010000001.1"
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,664500,666000,"list_cnv_geoc_other","CCBN010000002.1"
"2","gene-BN980_GECA02s03035g","gene-BN980_GECA02s03035g-T1","mRNA","CCBN010000002.1",681192,682277,"-","","Hypothetical protein, no similarity",NA,"","","","","","","",NA,NA,"","","",681192,682277,2,681500,682000,"list_cnv_geoc_other","CCBN010000002.1"
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,685500,686000,"list_cnv_geoc_other","CCBN010000002.1"
"2","gene-BN980_GECA02s06566r","gene-BN980_GECA02s06566r-T1","tRNA","CCBN010000002.1",799110,799199,"+","","tRNA-Ile",NA,"","","","","","","",NA,NA,"","","",799110,799199,2,798500,800500,"list_cnv_geoc_other","CCBN010000002.1"
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2091500,2092500,"list_cnv_geoc_other","CCBN010000002.1"
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2095500,2096000,"list_cnv_geoc_other","CCBN010000002.1"
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2100500,2102000,"list_cnv_geoc_other","CCBN010000002.1"
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,281000,282000,"list_cnv_geob_cheese","CCBN010000002.1"
