"scaffold_name","GeneID","TranscriptID","Feature","Contig","Start","Stop","Strand","Name","Product","Alias.Synonyms","EC_number","BUSCO","PFAM","InterPro","EggNog","COG","GO.Terms","Secreted","Membrane","Protease","CAZyme","Notes","begin","end","pos.mean","pos.begin","pos.end","pos.scaffold","window","variable","value","analysis","i.begin","i.end"
"CCBN010000001.1","gene-BN980_GECA01s00076g","gene-BN980_GECA01s00076g-T1","mRNA","CCBN010000001.1",24267,25184,"+","","hypothetical protein",NA,"","","PF10494","IPR018865 Serine-threonine protein kinase 19","ENOG503P0EK","S:(S) Function unknown","",NA,NA,"","","",24267,25184,28.7505,25.001,32.5,1,6,"Cheese_1",0,"pi",25001,32500
"CCBN010000001.1","gene-BN980_GECA01s00098g","gene-BN980_GECA01s00098g-T1","mRNA","CCBN010000001.1",25868,26551,"+","","NUKM subunit of mitochondrial NADH:ubiquinone oxidoreductase (complex I), putative",NA,"","","PF01058","IPR006137 NADH:ubiquinone oxidoreductase-like, 20kDa subunit;IPR006138 NADH-ubiquinone oxidoreductase, 20 Kd subunit","ENOG503NVKG","C:(C) Energy production and conversion","GO_function: GO:0051536 - iron-sulfur cluster binding [Evidence IEA];GO_function: GO:0048038 - quinone binding [Evidence IEA];GO_function: GO:0008137 - NADH dehydrogenase (ubiquinone) activity [Evidence IEA];GO_function: GO:0051539 - 4 iron, 4 sulfur cluster binding [Evidence IEA]",NA,NA,"","","",25868,26551,28.7505,25.001,32.5,1,6,"Cheese_1",0,"pi",25001,32500
"CCBN010000001.1","gene-BN980_GECA01s00109g","gene-BN980_GECA01s00109g-T1","mRNA","CCBN010000001.1",27079,29305,"+","","conserved hypothetical protein. Putative transcription factor",NA,"","","PF04082","IPR007219 Transcription factor domain, fungi;IPR036864 Zn(2)-C6 fungal-type DNA-binding domain superfamily","ENOG503NZH7","K:(K) Transcription","GO_function: GO:0003677 - DNA binding [Evidence IEA];GO_function: GO:0008270 - zinc ion binding [Evidence IEA];GO_function: GO:0000981 - DNA-binding transcription factor activity, RNA polymerase II-specific [Evidence IEA];GO_process: GO:0006351 - transcription, DNA-templated [Evidence IEA];GO_process: GO:0006355 - regulation of transcription, DNA-templated [Evidence IEA]",NA,NA,"","","",27079,29305,28.7505,25.001,32.5,1,6,"Cheese_1",0,"pi",25001,32500
"CCBN010000001.1","gene-BN980_GECA01s00142g","gene-BN980_GECA01s00142g-T1","mRNA","CCBN010000001.1",31492,33186,"-","SNF1_1","Protein kinase",NA,"2.7.11.1","","PF00069;PF01163;PF07714;PF08587;PF16579","IPR000719 Protein kinase domain;IPR008271 Serine/threonine-protein kinase, active site;IPR011009 Protein kinase-like domain superfamily;IPR013896 Carbon catabolite-derepressing protein kinase, ubiquitin-associated domain;IPR017441 Protein kinase, ATP binding site;IPR028375 KA1 domain/Ssp2, C-terminal;IPR032270 AMPK, C-terminal adenylate sensor domain","ENOG503NUN4","T:(T) Signal transduction mechanisms","GO_function: GO:0004674 - protein serine/threonine kinase activity [Evidence IEA];GO_function: GO:0004672 - protein kinase activity [Evidence IEA];GO_function: GO:0005524 - ATP binding [Evidence IEA];GO_process: GO:0006468 - protein phosphorylation [Evidence IEA]",NA,NA,"","","",31492,33186,28.7505,25.001,32.5,1,6,"Cheese_1",0,"pi",25001,32500
"CCBN010000001.1","gene-BN980_GECA01s00197g","gene-BN980_GECA01s00197g-T1","mRNA","CCBN010000001.1",44146,45393,"+","","hypothetical protein",NA,"","","PF04193","IPR006603 PQ-loop repeat","ENOG503P1GY","S:(S) Function unknown","",NA,NA,"","","similar to Saccharomyces cerevisiae YDR352W YPQ2 Putative vacuolar membrane transporter for cationic amino acids",44146,45393,48.7505,45.001,52.5,1,10,"Cheese_1",2.1256038647343e-05,"pi",45001,52500
"CCBN010000001.1","gene-BN980_GECA01s00197g","gene-BN980_GECA01s00197g-T1","mRNA","CCBN010000001.1",44146,45393,"+","","hypothetical protein",NA,"","","PF04193","IPR006603 PQ-loop repeat","ENOG503P1GY","S:(S) Function unknown","",NA,NA,"","","similar to Saccharomyces cerevisiae YDR352W YPQ2 Putative vacuolar membrane transporter for cationic amino acids",44146,45393,48.7505,45.001,52.5,1,10,"Cheese_3",2.1256038647343e-05,"pi",45001,52500
"CCBN010000001.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.7505,50.001,57.5,1,11,"Cheese_1",0,"pi",50001,57500
"CCBN010000001.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.7505,50.001,57.5,1,11,"Cheese_3",0,"pi",50001,57500
"CCBN010000001.1","gene-BN980_GECA01s00238r","gene-BN980_GECA01s00238r-T1","tRNA","CCBN010000001.1",67409,67498,"+","","tRNA-Asp",NA,"","","","","","","",NA,NA,"","","",67409,67498,68.7505,65.001,72.5,1,14,"Cheese_1",0,"pi",65001,72500
"CCBN010000001.1","gene-BN980_GECA01s00235r","gene-BN980_GECA01s00235r-T1","tRNA","CCBN010000001.1",69864,69935,"-","","tRNA-Glu",NA,"","","","","","","",NA,NA,"","","",69864,69935,68.7505,65.001,72.5,1,14,"Cheese_1",0,"pi",65001,72500
"CCBN010000001.1","gene-BN980_GECA01s00238r","gene-BN980_GECA01s00238r-T1","tRNA","CCBN010000001.1",67409,67498,"+","","tRNA-Asp",NA,"","","","","","","",NA,NA,"","","",67409,67498,68.7505,65.001,72.5,1,14,"Cheese_3",0,"pi",65001,72500
"CCBN010000001.1","gene-BN980_GECA01s00235r","gene-BN980_GECA01s00235r-T1","tRNA","CCBN010000001.1",69864,69935,"-","","tRNA-Glu",NA,"","","","","","","",NA,NA,"","","",69864,69935,68.7505,65.001,72.5,1,14,"Cheese_3",0,"pi",65001,72500
"CCBN010000001.1","gene-BN980_GECA01s01253g","gene-BN980_GECA01s01253g-T1","mRNA","CCBN010000001.1",268543,269601,"+","GRE2_1","methylglyoxal reductase (NADPH-dependent) gre2",NA,"1.1.1.283","","PF01073;PF01370","IPR001509 NAD-dependent epimerase/dehydratase;IPR036291 NAD(P)-binding domain superfamily","ENOG503NVWR","V:(V) Defense mechanisms","GO_function: GO:0003824 - catalytic activity [Evidence IEA]",NA,NA,"","","",268543,269601,268.7505,265.001,272.5,1,54,"Cheese_1",0,"pi",265001,272500
"CCBN010000001.1","gene-BN980_GECA01s02749g","gene-BN980_GECA01s02749g-T1","mRNA","CCBN010000001.1",603396,607007,"-","","Hypothetical protein, no similarity",NA,"","","PF04434","IPR006564 Zinc finger, PMZ-type;IPR007527 Zinc finger, SWIM-type","","","GO_function: GO:0008270 - zinc ion binding [Evidence IEA]",NA,NA,"","","",603396,607007,608.7505,605.001,612.5,1,122,"Cheese_1",0,"pi",605001,612500
"CCBN010000001.1","gene-BN980_GECA01s02760g","gene-BN980_GECA01s02760g-T1","mRNA","CCBN010000001.1",607563,608975,"+","APR1","aspartic proteinase precursor",NA,"3.4.23.25","EOG093423EI","PF00026","IPR001461 Aspartic peptidase A1 family;IPR001969 Aspartic peptidase, active site;IPR021109 Aspartic peptidase domain superfamily;IPR033121 Peptidase family A1 domain","ENOG503NW5J","O:(O) Posttranslational modification, protein turnover, chaperones","GO_function: GO:0004190 - aspartic-type endopeptidase activity [Evidence IEA];GO_process: GO:0006508 - proteolysis [Evidence IEA]",NA,NA,"A01A","","",607563,608975,608.7505,605.001,612.5,1,122,"Cheese_1",0,"pi",605001,612500
"CCBN010000001.1","gene-BN980_GECA01s02771g","gene-BN980_GECA01s02771g-T1","mRNA","CCBN010000001.1",609452,610117,"-","TPM2_1","tropomyosin-2",NA,"","EOG093444WU","PF12718","IPR000533 Tropomyosin","ENOG503P2Z3","Z:(Z) Cytoskeleton","",NA,NA,"","","",609452,610117,608.7505,605.001,612.5,1,122,"Cheese_1",0,"pi",605001,612500
"CCBN010000001.1","gene-BN980_GECA01s02793g","gene-BN980_GECA01s02793g-T1","mRNA","CCBN010000001.1",611922,613979,"+","KIP2_1","Kinesin-like protein kip2",NA,"","EOG09342L36","PF00225;PF16796","IPR001752 Kinesin motor domain;IPR019821 Kinesin motor domain, conserved site;IPR027417 P-loop containing nucleoside triphosphate hydrolase;IPR036961 Kinesin motor domain superfamily","ENOG503NTW8","Z:(Z) Cytoskeleton","GO_function: GO:1990939 - ATP-dependent microtubule motor activity [Evidence IEA];GO_function: GO:0003777 - microtubule motor activity [Evidence IEA];GO_function: GO:0005524 - ATP binding [Evidence IEA];GO_function: GO:0008017 - microtubule binding [Evidence IEA];GO_process: GO:0007018 - microtubule-based movement [Evidence IEA]",NA,NA,"","","",611922,613979,608.7505,605.001,612.5,1,122,"Cheese_1",0,"pi",605001,612500
"CCBN010000001.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,653.7505,650.001,657.5,1,131,"Cheese_1",0,"pi",650001,657500
"CCBN010000001.1","gene-BN980_GECA01s07605g","gene-BN980_GECA01s07605g-T1","mRNA","CCBN010000001.1",1623486,1625027,"-","PYK1_1","Pyruvate kinase",NA,"2.7.1.40","EOG09342A03","PF00224;PF02887","IPR001697 Pyruvate kinase;IPR011037 Pyruvate kinase-like, insert domain superfamily;IPR015793 Pyruvate kinase, barrel;IPR015795 Pyruvate kinase, C-terminal;IPR015806 Pyruvate kinase, insert domain superfamily;IPR015813 Pyruvate/Phosphoenolpyruvate kinase-like domain superfamily;IPR018209 Pyruvate kinase, active site;IPR036918 Pyruvate kinase, C-terminal domain superfamily;IPR040442 Pyruvate kinase-like domain superfamily","ENOG503NUBE","G:(G) Carbohydrate transport and metabolism","GO_function: GO:0000287 - magnesium ion binding [Evidence IEA];GO_function: GO:0004743 - pyruvate kinase activity [Evidence IEA];GO_function: GO:0030955 - potassium ion binding [Evidence IEA];GO_function: GO:0003824 - catalytic activity [Evidence IEA];GO_process: GO:0006096 - glycolytic process [Evidence IEA]",NA,NA,"","","",1623486,1625027,1628.7505,1625.001,1632.5,1,326,"Cheese_1",0,"pi",1625001,1632500
"CCBN010000001.1","gene-BN980_GECA01s07622g","gene-BN980_GECA01s07622g-T1","mRNA","CCBN010000001.1",1627298,1628701,"+","","hypothetical protein",NA,"","","PF01156","IPR001910 Inosine/uridine-preferring nucleoside hydrolase domain;IPR023186 Inosine/uridine-preferring nucleoside hydrolase;IPR036452 Ribonucleoside hydrolase-like","ENOG503NWEU","F:(F) Nucleotide transport and metabolism","",NA,NA,"","","similar to Saccharomyces cerevisiae YDR400W URH1 Uridine nucleosidase",1627298,1628701,1628.7505,1625.001,1632.5,1,326,"Cheese_1",0,"pi",1625001,1632500
"CCBN010000001.1","gene-BN980_GECA01s07633g","gene-BN980_GECA01s07633g-T1","mRNA","CCBN010000001.1",1632009,1634468,"-","HSP78","chaperone ATPase hsp78",NA,"3.6.1.3","","PF00004;PF00158;PF07724;PF07728;PF10431;PF17871","IPR001270 ClpA/B family;IPR003593 AAA+ ATPase domain;IPR003959 ATPase, AAA-type, core;IPR018368 ClpA/B, conserved site 1;IPR019489 Clp ATPase, C-terminal;IPR027417 P-loop containing nucleoside triphosphate hydrolase;IPR028299 ClpA/B, conserved site 2;IPR041546 ClpA/ClpB, AAA lid domain","ENOG503NWFJ","O:(O) Posttranslational modification, protein turnover, chaperones","GO_function: GO:0005524 - ATP binding [Evidence IEA];GO_function: GO:0016887 - ATPase [Evidence IEA]",NA,NA,"","","",1632009,1634468,1628.7505,1625.001,1632.5,1,326,"Cheese_1",0,"pi",1625001,1632500
"CCBN010000001.1","gene-BN980_GECA01s07605g","gene-BN980_GECA01s07605g-T1","mRNA","CCBN010000001.1",1623486,1625027,"-","PYK1_1","Pyruvate kinase",NA,"2.7.1.40","EOG09342A03","PF00224;PF02887","IPR001697 Pyruvate kinase;IPR011037 Pyruvate kinase-like, insert domain superfamily;IPR015793 Pyruvate kinase, barrel;IPR015795 Pyruvate kinase, C-terminal;IPR015806 Pyruvate kinase, insert domain superfamily;IPR015813 Pyruvate/Phosphoenolpyruvate kinase-like domain superfamily;IPR018209 Pyruvate kinase, active site;IPR036918 Pyruvate kinase, C-terminal domain superfamily;IPR040442 Pyruvate kinase-like domain superfamily","ENOG503NUBE","G:(G) Carbohydrate transport and metabolism","GO_function: GO:0000287 - magnesium ion binding [Evidence IEA];GO_function: GO:0004743 - pyruvate kinase activity [Evidence IEA];GO_function: GO:0030955 - potassium ion binding [Evidence IEA];GO_function: GO:0003824 - catalytic activity [Evidence IEA];GO_process: GO:0006096 - glycolytic process [Evidence IEA]",NA,NA,"","","",1623486,1625027,1628.7505,1625.001,1632.5,1,326,"Cheese_3",0,"pi",1625001,1632500
"CCBN010000001.1","gene-BN980_GECA01s07622g","gene-BN980_GECA01s07622g-T1","mRNA","CCBN010000001.1",1627298,1628701,"+","","hypothetical protein",NA,"","","PF01156","IPR001910 Inosine/uridine-preferring nucleoside hydrolase domain;IPR023186 Inosine/uridine-preferring nucleoside hydrolase;IPR036452 Ribonucleoside hydrolase-like","ENOG503NWEU","F:(F) Nucleotide transport and metabolism","",NA,NA,"","","similar to Saccharomyces cerevisiae YDR400W URH1 Uridine nucleosidase",1627298,1628701,1628.7505,1625.001,1632.5,1,326,"Cheese_3",0,"pi",1625001,1632500
"CCBN010000001.1","gene-BN980_GECA01s07633g","gene-BN980_GECA01s07633g-T1","mRNA","CCBN010000001.1",1632009,1634468,"-","HSP78","chaperone ATPase hsp78",NA,"3.6.1.3","","PF00004;PF00158;PF07724;PF07728;PF10431;PF17871","IPR001270 ClpA/B family;IPR003593 AAA+ ATPase domain;IPR003959 ATPase, AAA-type, core;IPR018368 ClpA/B, conserved site 1;IPR019489 Clp ATPase, C-terminal;IPR027417 P-loop containing nucleoside triphosphate hydrolase;IPR028299 ClpA/B, conserved site 2;IPR041546 ClpA/ClpB, AAA lid domain","ENOG503NWFJ","O:(O) Posttranslational modification, protein turnover, chaperones","GO_function: GO:0005524 - ATP binding [Evidence IEA];GO_function: GO:0016887 - ATPase [Evidence IEA]",NA,NA,"","","",1632009,1634468,1628.7505,1625.001,1632.5,1,326,"Cheese_3",0,"pi",1625001,1632500
